compound,n1,n2,n3
foxhole,fox,hole,
chairman,chair,man,
maneating,mane,ating,
somebody,some,body,
thoroughbred,thorough,bred,
counterpunch,counter,punch,
overrule,over,rule,
handwork,hand,work,
mastermind,master,mind,
handyman,handy,man,
frenchtoast,french,toast,
sisterinlaw,sister,inlaw,
flatfish,flat,fish,
sidestroke,side,stroke,
upload,up,load,
waterway,water,way,
supergiant,super,giant,
headphone,head,phone,
bombproof,bomb,proof,
heavyrain,heavyr,ain,
overpay,over,pay,
needlepoint,needle,point,
merrygoround,merry,goround,
outrage,out,rage,
haywire,hay,wire,
handrail,hand,rail,
outshine,out,shine,
supercharged,super,charged,
highschool,high,school,
firsthand,first,hand,
hardhearted,hard,hearted,
silkworm,silk,worm,
fisheye,fish,eye,
bluefish,blue,fish,
undercover,under,cover,
afterthought,aftert,hought,
heavyweight,heavy,weight,
sportsman,sports,man,
cutup,cut,up,
ontherun,onthe,run,
overblown,over,blown,
groundhog,ground,hog,
tightrope,tigh,t,rope
hometown,home,town,
hairsalon,hair,salon,
fishandchip,fishand,chip,
soundtrack,sound,track,
blockshot,block,shot,
bullfight,bull,fight,
runaway,run,away,
wellmade,well,made,
fishnet,fish,net,
spoilsport,spoil,sport,
gumdrop,gum,drop,
cookbook,cook,book,
eyecatching,eye,catching,
birthmark,birth,mark,
railway,rail,way,
dugout,dug,out,
herringbone,herring,bone,
childbirth,child,birth,
pillowcase,pillow,case,
eyelash,eye,lash,
sledgehammer,sledge,hammer,
anyhow,any,how,
airtight,air,tight,
fatherinlaw,father,in,law
wintertime,winter,time,
upswing,up,swing,
butterfly,butter,fly,
truckdriver,truck,driver,
snowflake,snow,flake,
fulltime,full,time,
homestand,home,stand,
airhead,air,head,
turnover,turn,over,
tabletennis,tableten,nis,
groundnut,ground,nut,
storyteller,story,teller,
cleanshaven,clean,shaven,
timecard,time,card,
driveway,drive,way,
tideland,tide,land,
roughneck,rough,neck,
watermelon,water,melon,
pocketknife,pocket,knife,
armhole,arm,hole,
handset,hand,set,
tradeoff,trade,off,
anytime,any,time,
breakup,break,up,
dimwit,dim,wit,
spareribs,spare,ribs,
fastball,fast,ball,
warpath,war,path,
snowboard,snow,board,
bygone,by,gone,
facetoface,facet,oface,
troublemaker,trouble,maker,
battlefield,battle,field,
overcome,over,come,
earwig,ear,wig,
handstand,hand,stand,
without,wit,hout,
underwater,under,water,
waistcoat,waist,coat,
cupcake,cup,cake,
fruitcake,fruit,cake,
bookbinder,book,binder,
topknot,top,knot,
outdo,out,do,
aircraft,air,craft,
paperwork,paper,work,
entrybar,entry,bar,
sundown,sun,down,
statesman,states,man,
seagull,sea,gull,
boardroom,boar,droom,
longdistance,long,distance,
bookstall,book,stall,
catnip,catn,ip,
motorcycle,motorcy,cle,
overseas,over,seas,
breakaway,break,away,
strawberry,straw,berry,
humankind,human,kind,
carefree,care,free,
downhill,down,hill,
lightweight,light,weight,
lunchroom,lun,chroom,
supercollider,super,collider,
barmaid,bar,maid,
secondclass,second,class,
longhand,long,hand,
jellybean,jelly,bean,
upkeep,up,keep,
greengrocer,green,grocer,
cookware,cook,ware,
bedrock,bed,rock,
inmate,in,mate,
honeybee,honey,bee,
whitewine,white,wine,
inchworm,inch,worm,
supercomputer,super,computer,
wristwatch,wrist,watch,
downhome,down,home,
bluebottle,blue,bottle,
warfare,war,fare,
toothpaste,toot,hpaste,
overdraft,over,draft,
snowball,snow,ball,
understand,under,stand,
horseback,horse,back,
ringleader,ring,leader,
overcrowd,over,crowd,
headquarters,head,quarters,
inlet,in,let,
checkup,check,up,
telltale,tell,tale,
prizefighter,prize,fighter,
anywhere,any,where,
stargazer,star,gazer,
hotshot,hot,shot,
windswept,wind,swept,
onehalf,one,half,
slingshot,sling,shot,
darkhorse,dark,horse,
daredevil,dared,evil,
popcorn,pop,corn,
longshoreman,long,shoreman,
dreadnought,dread,nought,
passport,pass,port,
freestanding,free,standing,
overview,over,view,
newspaper,new,spaper,
hilltop,hill,top,
soybean,soy,bean,
blackwidow,black,widow,
highjack,high,jack,
girlfriend,girl,friend,
whirlpool,whirl,pool,
superimpose,superim,pose,
superman,super,man,
brainpower,brain,power,
doorstep,door,step,
attorneygeneral,attorney,general,
breechloader,breech,loader,
toothpick,tooth,pick,
strawberryblonde,strawberry,blonde,
fisherman,fisher,man,
classwork,class,work,
gallstone,gall,stone,
lunaryear,lunar,year,
saleswoman,sale,swoman,
broomstick,broom,stick,
bathmat,bath,mat,
doorstop,door,stop,
doubleburger,double,burger,
thumbnail,thum,bnail,
tripledouble,triple,double,
timekeeper,time,keeper,
beeline,bee,line,
bustup,bust,up,
oncoming,on,coming,
within,wit,hin,
fallout,fall,out,
airwave,air,wave,
secondrate,secon,drate,
hairbrush,hair,brush,
tonguetied,tong,ue,tied
workhorse,work,horse,
panhandle,pan,handle,
newcomer,new,comer,
